source_record_id,place_id,platform,query,video_url,video_caption,video_views,video_likes,video_comment_count,comment_id,comment_author,comment_likes,comment_is_likely_spam,comment_is_reply,comment_emoji_ratio
e85ad68c749bd4daa7b9b73963a7e5a2a8c6f3b08b39b6bcdd465194abcf0dcc,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7633478064995140360,,0,False,False,0.007
4318991d4401a502be970f344aa3c33f5ded0531a45ad5c1c398b7942a55303c,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7634012076474598162,,3,False,False,0.0
bf2e7fd88c2f11482b63d0a58db12ac3c9c1bfb98a1208f809e8a7a05e963433,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7634043023562670855,,0,False,False,0.0
a6ddaba5a93f8c729d0594f54a4047eafb667509bb5f581570ca0db6c26f3672,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7633530140475917074,,2,False,False,0.013
2cf073bbe08d9761085cb936b1d3e4387275f5d992880bca71a86234187526a7,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7633606472102560519,,2,False,False,0.007
5c3b7920066508e82a844503c5f8d557fe704fcf186987d85f1a8af01bb9cba9,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7633411981130760967,,0,False,False,0.0
4daeb5f8b7876fc1931ca9f0a713384685c5d4662678a50479bc040d110220c1,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7633416041040773906,,2,False,False,0.033
ac4615bd5f4b9f0c424a31db07b10acf3f83b88b19d5f433a1d959319b3b7297,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7633673620367098644,,0,False,False,0.0
04ee50d8e27f41be974c00852e129cc979fb13e650326adccda40a573df21692,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7633678988598084360,,0,False,False,0.0
a290bc1fe83a49148ce633a03a9e97dc28fb023b2cd67928f2f7e4774bafd186,dalat_002,tiktok,Horizon Coffee Da Lat Đà Lạt review,https://www.tiktok.com/@trongtamdalat/video/7633379755215047944,"Bỏ ra 59k đi ăn cơm trưa ngắm view đồi thông liệu có đáng ko? 59k là 5 móm: 1 mặn, 1 xào, 1 rau salad, 1 canh, 1 tráng . Còn trên clip mình đi gia đình nên gọi thêm vài món mặn tính thêm nha mọi người #dalat #ongboreviewdalat",217200,3147,113,7633843585183531793,,0,False,False,0.0
