place_id,place_name,google_maps_rating,google_maps_rating_avg_from_reviews,risk_score,risk_level,data_quality_risk,sentiment_gap,negative_social_vs_maps_gap,topic_gap,engagement_gap,coverage_risk,google_maps_avg_sentiment,social_avg_sentiment
dalat_002,Horizon Coffee Da Lat,4.2,4.1,0.3132,low,0.3316,0.4259,0.2028,0.225,0.0352,0.5252,0.5092,0.1944
dalat_003,Quán Của Thời Thanh Xuân,4.9,5.0,0.3729,medium,0.4155,0.5094,0.3435,0.0946,0.0601,0.6044,0.73,0.2631
dalat_004,Tiệm Cà Phê Trứng Cô Ba - Đà Lạt,4.8,4.4,0.4321,medium,0.4389,0.5633,0.3348,0.3909,0.0793,0.5825,0.7183,0.2303
