platform,place_id,place_name,place_category,place_address,query,video_id,video_url,caption,created_at,author,views,likes,shares,comment_count,relevance_score,scraped_at
tiktok,dalat_001,Tiệm gà Túk Túk - Gà nướng sốt tiêu xanh chính gốc Đà Lạt,Nhà hàng,"39 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Tiệm gà Túk Túk - Gà nướng sốt tiêu xanh chính gốc Đà Lạt Đà Lạt,7524950246590385424,https://www.tiktok.com/@tiemgatuktukdalat/video/7524950246590385424,Gà sốt tiêu xanh tại tiệm gà Túk Túk 😋 #tiemgatuktuk #sixsenagency #dalat #learnontiktok #xuhuong #dalatangi,2025-07-09T05:30:27.000Z,tiemgatuktukdalat,525100,4903,111,148,5.09,2026-05-22T23:44:32.081624
tiktok,dalat_001,Tiệm gà Túk Túk - Gà nướng sốt tiêu xanh chính gốc Đà Lạt,Nhà hàng,"39 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Tiệm gà Túk Túk - Gà nướng sốt tiêu xanh chính gốc Đà Lạt Đà Lạt,7168075397106502939,https://www.tiktok.com/@thodiadalat_gdl/video/7168075397106502939,Đến đây nhất định phải ăn gà nướng sốt tiêu xanh nhé mọi người ơi @Ghiền Đà Lạt #ghiendalat #ghiendalatofficial #thodiadalat #thodiadalat #tiemgatuktuk #tiemgatuktukdalat,2022-11-20T12:33:32.000Z,thodiadalat_gdl,233300,4376,707,122,5.09,2026-05-22T23:44:32.081624
tiktok,dalat_001,Tiệm gà Túk Túk - Gà nướng sốt tiêu xanh chính gốc Đà Lạt,Nhà hàng,"39 Đường Trần Đại Nghĩa, Lâm Viên - Đà Lạt, Lâm Đồng, Việt Nam",Tiệm gà Túk Túk - Gà nướng sốt tiêu xanh chính gốc Đà Lạt Đà Lạt review,7626977976462150930,https://www.tiktok.com/@chamdidaudo/video/7626977976462150930,Quán ăn độc lạ Đà Lạt @Tiệm Gà Túk Túk Đà Lạt #chamdidaudo #dalat #dalattrip #dalatangi #tiemgatuktuk,2026-04-10T04:09:57.000Z,chamdidaudo,436900,13000,11300,261,4.83,2026-05-22T23:44:13.324672
